Diagnosis,count
weakness,246682
cough,152530
gastritis,89980
headache,78070
fever,75091
urti,62889
knee pain,57258
cold,52110
body pain,45075
back pain,37166
,32480
bodyache,31386
leg pain,28207
myalgia,27404
ringworm,25293
other pain,25188
backache,23267
scabies,20791
anorexia,18989
leucorrhoea,14708
low backache,13574
lba,12510
pain abdomen,11849
constipation,11625
leucorrhea,10115
common cold,9438
body ache,9315
bodypain,8635
cough cold,8451
low back pain,7805
hypotension,7757
low back ache,7173
hypertension,7004
toothache,6881
acidity,6820
chest pain,6807
pain body,6731
itching,6712
malaise,6685
abdominal pain,6328
generalised body pain,6328
backpain,6314
pharyngitis,6283
shoulder pain,6025
cold cough,5893
sore throat,5807
gas,5774
arthralgia,5609
joint pain,5503
low bp,5490
k,5291
gastrointestinal symptoms,5173
urticaria,5106
lower back pain,5092
fungal infection,4911
arthritis,4887
allergic rhinitis,4858
rhinitis,4763
loss of appetite,4734
b,4703
vitamin deficiency,4598
htn,4517
pain in abdomen,4500
dry cough,4251
pain,4065
lbp,4034
gerd,3993
hand pain,3922
skin problems,3796
generalised weakness,3615
body pains,3594
dermatitis,3558
flatulence,3474
uri,3337
piles,3299
vertigo,3278
lrti,3251
eye pain,3122
ear pain,3112
neck pain,3105
allergy,3036
uti,2922
dizziness,2805
osteoarthritis,2804
loose motion,2795
nutritional deficiency,2770
anaemia,2749
lower back ache,2733
vomiting,2695
back ache,2566
skin infection,2538
generalised pain,2414
h,2388
ring worm,2383
mouth ulcer,2318
shortness of breath,2288
migraine,2273
knee joint pain,2272
weaknes,2229
acne,2220
viral fever,2217
pain back,2169
diarrhoea,2166
giddiness,2161
pain in back,2138
gap,2095
skin itching,2083
fever cough,2052
fever cough cold,1977
ear discharge,1923
generalized malaise,1908
visual acuity,1900
l knee pain,1873
nausea,1831
skin allergy,1824
upper respiratory tract infection,1820
non productive,1806
heel pain,1709
kneepain,1683
swelling,1662
tingling sensation,1637
puo,1540
leukorrhea,1531
tingling,1531
back,1528
calcium deficiency,1520
dandruff,1511
headache weakness,1505
gastroenteritis,1476
bodyache since 1month,1475
hemorrhoids,1459
anemia,1445
lumbago,1441
generalized fatigue,1407
bodyaches,1403
urti features,1395
cough x3d,1383
indigestion,1382
abdomen pain,1379
eye problem,1365
peripheral neuropathy,1358
skin problem,1357
high bp,1353
vit deficiency,1353
strain,1352
conjunctivitis,1345
breathlessness,1336
low backpain,1301
back pain',1296
l,1281
lba weakness,1279
weakness.,1274
pain in body,1273
pyrexia,1265
